filename,width,height,class,xmin,ymin,xmax,ymax
ship02016061101025027,256,256,ship,11,24,67,69
ship02016061101026017,256,256,ship,219,98,250,131
ship02016061101026018,256,256,ship,91,98,123,131
ship02016061101026020,256,256,ship,223,146,256,179
ship02016061101026021,256,256,ship,95,144,138,182
ship02016061101026050,256,256,ship,91,240,139,256
ship02016061101027015,256,256,ship,188,193,227,237
ship02016061101027016,256,256,ship,60,195,96,236
ship02016061101027020,256,256,ship,224,17,256,50
ship02016061101027021,256,256,ship,95,18,138,57
ship02016061101027049,256,256,ship,220,112,256,130
ship02016061101027050,256,256,ship,91,111,138,129
ship02016061101028015,256,256,ship,187,67,227,110
ship02016061101028016,256,256,ship,60,68,97,109
ship02016061101028046,256,256,ship,161,190,216,220
ship02016061101028047,256,256,ship,32,190,89,218
ship02016061101029020,256,256,ship,175,214,230,253
ship02016061101029021,256,256,ship,46,213,101,253
ship02016061101029046,256,256,ship,161,63,217,89
ship02016061101029047,256,256,ship,34,63,89,89
ship02016061101030020,256,256,ship,174,86,230,126
ship02016061101030021,256,256,ship,47,85,102,126
ship02016061101032012,256,256,ship,165,147,204,199
ship02016061101032013,256,256,ship,36,147,74,199
ship02016061101032025,256,256,ship,179,123,235,152
ship02016061101032026,256,256,ship,51,124,108,151
ship02016061101033012,256,256,ship,166,21,201,70
ship02016061101033013,256,256,ship,38,20,74,70
ship02016061101033016,256,256,ship,149,125,194,154
ship02016061101033017,256,256,ship,22,124,67,153
ship02016061101033025,256,256,ship,179,1,237,25
ship02016061101033026,256,256,ship,51,1,107,25
ship02016061101034016,256,256,ship,150,1,195,24
ship02016061101034017,256,256,ship,21,1,67,21
ship02016061101036041,256,256,ship,174,231,214,254
ship02016061101036042,256,256,ship,46,232,86,254
ship02016061101037039,256,256,ship,141,231,191,256
ship02016061101037040,256,256,ship,12,230,62,256
ship02016061101037041,256,256,ship,174,102,214,127
ship02016061101037042,256,256,ship,46,104,87,127
ship02016061101038010,256,256,ship,98,182,139,211
ship02016061101038039,256,256,ship,139,104,188,136
ship02016061101038040,256,256,ship,11,104,61,136
ship02016061101038046,256,256,ship,210,211,252,238
ship02016061101038047,256,256,ship,82,211,124,239
ship0201606110103809,256,256,ship,225,184,256,206
ship02016061101039010,256,256,ship,98,55,138,82
ship02016061101039035,256,256,ship,209,154,238,173
ship02016061101039036,256,256,ship,81,154,111,173
ship02016061101039037,256,256,ship,144,213,191,235
ship02016061101039038,256,256,ship,16,209,63,237
ship02016061101039046,256,256,ship,211,83,251,111
ship02016061101039047,256,256,ship,83,83,123,111
ship0201606110103909,256,256,ship,226,55,256,75
ship02016061101040035,256,256,ship,208,25,239,45
ship02016061101040036,256,256,ship,81,25,111,45
ship02016061101040037,256,256,ship,143,82,191,103
ship02016061101040038,256,256,ship,16,83,62,101
ship02016061101041037,256,256,ship,197,193,256,218
ship02016061101041038,256,256,ship,72,194,130,217
ship02016061101042033,256,256,ship,169,156,211,192
ship02016061101042034,256,256,ship,40,156,84,194
ship02016061101042037,256,256,ship,201,66,255,89
ship02016061101042038,256,256,ship,73,67,128,90
ship02016061101042041,256,256,ship,108,217,156,243
ship02016061101042042,256,256,ship,1,218,28,239
ship02016061101043031,256,256,ship,212,11,241,47
ship02016061101043032,256,256,ship,83,11,113,48
ship02016061101043033,256,256,ship,168,28,210,65
ship02016061101043034,256,256,ship,41,29,82,64
ship02016061101043041,256,256,ship,110,87,157,116
ship02016061101043042,256,256,ship,1,92,28,112
ship02016061101044035,256,256,ship,213,200,256,230
ship02016061101044036,256,256,ship,85,201,130,229
ship02016061101045034,256,256,ship,120,180,155,216
ship02016061101045035,256,256,ship,1,181,26,218
ship02016061101045035,256,256,ship,213,72,256,101
ship02016061101045036,256,256,ship,85,72,131,102
ship02016061101045039,256,256,ship,131,227,180,256
ship02016061101045040,256,256,ship,2,228,49,255
ship02016061101046034,256,256,ship,121,53,154,88
ship02016061101046035,256,256,ship,1,53,25,90
ship02016061101046039,256,256,ship,130,100,177,129
ship02016061101046040,256,256,ship,3,98,50,129
ship02016061101047035,256,256,ship,217,183,256,224
ship02016061101047036,256,256,ship,89,183,128,224
ship02016061101048030,256,256,ship,179,181,218,204
ship02016061101048031,256,256,ship,52,181,90,204
ship02016061101048035,256,256,ship,217,54,253,95
ship02016061101048036,256,256,ship,89,55,127,95
ship02016061101049030,256,256,ship,179,53,217,76
ship02016061101049031,256,256,ship,52,54,90,75
ship02016061101052015,256,256,ship,189,194,233,229
ship02016061101052016,256,256,ship,61,192,105,229
ship02016061101053015,256,256,ship,188,65,234,101
ship02016061101053016,256,256,ship,61,64,104,103
ship02016061101055013,256,256,ship,131,231,162,249
ship02016061101055014,256,256,ship,3,231,35,250
ship02016061101056013,256,256,ship,131,104,162,122
ship02016061101056014,256,256,ship,3,104,33,122
ship0201606110105602,256,256,ship,144,228,157,251
ship0201606110105602,256,256,ship,184,222,202,248
ship0201606110105603,256,256,ship,16,229,30,249
ship0201606110105603,256,256,ship,56,223,74,248
ship0201606110105607,256,256,ship,211,239,239,251
ship0201606110105608,256,256,ship,156,212,201,227
ship0201606110105608,256,256,ship,82,239,114,251
ship0201606110105609,256,256,ship,29,211,74,228
ship0201606110105702,256,256,ship,143,101,157,120
ship0201606110105702,256,256,ship,184,95,202,121
ship0201606110105705,256,256,ship,130,141,167,157
ship0201606110105706,256,256,ship,2,140,41,156
ship0201606110105706,256,256,ship,115,119,156,140
ship0201606110105707,256,256,ship,1,120,28,133
ship0201606110105707,256,256,ship,210,111,244,123
ship0201606110105707,256,256,ship,127,232,169,245
ship0201606110105708,256,256,ship,157,84,200,99
ship0201606110105708,256,256,ship,82,111,113,123
ship0201606110105708,256,256,ship,1,232,37,246
ship0201606110105709,256,256,ship,28,84,75,100
ship0201606110105801,256,256,ship,156,190,194,218
ship0201606110105802,256,256,ship,27,190,67,218
ship0201606110105805,256,256,ship,129,13,169,29
ship0201606110105805,256,256,ship,132,158,159,175
ship0201606110105806,256,256,ship,2,12,39,28
ship0201606110105806,256,256,ship,5,159,31,176
ship0201606110105807,256,256,ship,126,104,165,118
ship0201606110105808,256,256,ship,1,103,38,118
ship0201606110105901,256,256,ship,155,62,193,88
ship0201606110105902,256,256,ship,27,62,67,90
ship0201606110105905,256,256,ship,132,31,160,48
ship0201606110105906,256,256,ship,5,30,32,49
ship0201606110108027,256,256,ship,184,182,231,202
ship0201606110108028,256,256,ship,57,184,104,201
ship0201606110108039,256,256,ship,136,197,181,256
ship0201606110108040,256,256,ship,8,196,53,256
ship0201606110109027,256,256,ship,186,53,231,73
ship0201606110109028,256,256,ship,58,54,103,74
ship0201606110109039,256,256,ship,137,69,181,143
ship0201606110109040,256,256,ship,9,70,53,146
ship02016061102012013,256,256,ship,135,95,146,147
ship02016061102012013,256,256,ship,123,149,138,196
ship02016061102012013,256,256,ship,123,226,153,256
ship02016061102012014,256,256,ship,8,97,19,145
ship02016061102012014,256,256,ship,1,148,8,197
ship02016061102012014,256,256,ship,1,232,26,254
ship02016061102013011,256,256,ship,114,158,148,175
ship02016061102013012,256,256,ship,1,158,21,170
ship02016061102013013,256,256,ship,125,21,137,70
ship02016061102013013,256,256,ship,95,120,134,161
ship02016061102013013,256,256,ship,119,97,153,133
ship02016061102013014,256,256,ship,1,21,10,68
ship02016061102013014,256,256,ship,1,102,25,131
ship02016061102014011,256,256,ship,142,169,173,184
ship02016061102014011,256,256,ship,114,33,148,45
ship02016061102014012,256,256,ship,14,169,46,184
ship02016061102014012,256,256,ship,1,31,19,42
ship02016061102014012,256,256,ship,225,1,255,36
ship02016061102014013,256,256,ship,96,1,137,37
ship02016061102015011,256,256,ship,142,43,175,56
ship02016061102015012,256,256,ship,15,43,46,56
ship0201606110201707,256,256,ship,179,89,189,108
ship0201606110201708,256,256,ship,51,90,61,108
ship0201606110201801,256,256,ship,131,224,151,256
ship0201606110201801,256,256,ship,119,200,137,231
ship0201606110201901,256,256,ship,159,105,184,144
ship0201606110201901,256,256,ship,119,71,137,103
ship0201606110201901,256,256,ship,93,120,114,148
ship0201606110201901,256,256,ship,71,137,112,168
ship0201606110201901,256,256,ship,131,97,151,133
ship0201606110201901,256,256,ship,132,110,155,149
ship0201606110201902,256,256,ship,32,107,56,142
ship0201606110201902,256,256,ship,3,94,22,133
ship0201606110201902,256,256,ship,5,117,28,148
ship0201606110201902,256,256,ship,75,228,114,256
ship0201606110201906,256,256,ship,217,196,226,239
ship0201606110201907,256,256,ship,87,199,98,236
ship0201606110202001,256,256,ship,71,11,112,41
ship0201606110202001,256,256,ship,202,101,241,128
ship0201606110202001,256,256,ship,91,108,144,138
ship0201606110202001,256,256,ship,198,195,231,233
ship0201606110202002,256,256,ship,69,196,103,233
ship0201606110202002,256,256,ship,74,99,115,129
ship0201606110202007,256,256,ship,88,66,98,109
ship0201606110202017,256,256,ship,159,176,201,187
ship0201606110202101,256,256,ship,200,67,231,105
ship0201606110202101,256,256,ship,151,231,176,253
ship0201606110202102,256,256,ship,71,67,103,106
ship0201606110202102,256,256,ship,227,116,248,150
ship0201606110202102,256,256,ship,201,210,219,241
ship0201606110202102,256,256,ship,22,231,47,250
ship0201606110202103,256,256,ship,72,211,91,243
ship0201606110202103,256,256,ship,98,118,119,146
ship0201606110202201,256,256,ship,81,151,107,167
ship0201606110202201,256,256,ship,70,170,84,178
ship0201606110202201,256,256,ship,155,103,175,119
ship0201606110202202,256,256,ship,201,82,218,115
ship0201606110202202,256,256,ship,231,171,256,199
ship0201606110202202,256,256,ship,81,217,102,236
ship0201606110202202,256,256,ship,75,229,92,245
ship0201606110202202,256,256,ship,68,243,86,256
ship0201606110202202,256,256,ship,24,104,47,121
ship0201606110202202,256,256,ship,224,231,256,248
ship0201606110202203,256,256,ship,72,81,91,114
ship0201606110202203,256,256,ship,103,169,129,197
ship0201606110202203,256,256,ship,97,1,117,19
ship0201606110202203,256,256,ship,32,91,58,114
ship0201606110202203,256,256,ship,32,209,39,228
ship0201606110202301,256,256,ship,71,41,84,51
ship0201606110202301,256,256,ship,82,21,106,41
ship0201606110202301,256,256,ship,128,1,155,12
ship0201606110202301,256,256,ship,162,200,175,211
ship0201606110202301,256,256,ship,166,193,179,203
ship0201606110202301,256,256,ship,170,183,182,194
ship0201606110202301,256,256,ship,171,173,187,185
ship0201606110202301,256,256,ship,184,154,196,164
ship0201606110202301,256,256,ship,192,124,205,134
ship0201606110202301,256,256,ship,195,118,209,131
ship0201606110202301,256,256,ship,198,114,215,127
ship0201606110202301,256,256,ship,205,102,220,118
ship0201606110202301,256,256,ship,210,92,227,108
ship0201606110202302,256,256,ship,34,200,47,209
ship0201606110202302,256,256,ship,37,191,51,204
ship0201606110202302,256,256,ship,41,184,54,194
ship0201606110202302,256,256,ship,44,175,59,184
ship0201606110202302,256,256,ship,58,147,71,159
ship0201606110202302,256,256,ship,71,115,86,131
ship0201606110202305,256,256,ship,141,143,159,163
ship0201606110202305,256,256,ship,164,166,180,184
ship0201606110202401,256,256,ship,203,205,214,233
ship0201606110202401,256,256,ship,176,184,196,193
ship0201606110202401,256,256,ship,172,131,186,140
ship0201606110202401,256,256,ship,165,157,180,166
ship0201606110202401,256,256,ship,164,74,175,81
ship0201606110202401,256,256,ship,166,64,178,73
ship0201606110202401,256,256,ship,170,55,182,65
ship0201606110202401,256,256,ship,173,45,186,57
ship0201606110202401,256,256,ship,187,19,199,30
ship0201606110202401,256,256,ship,158,124,172,129
ship0201606110202402,256,256,ship,74,207,86,233
ship0201606110202403,256,256,ship,120,67,133,77
ship0201606110202403,256,256,ship,106,73,119,84
ship0201606110202403,256,256,ship,133,53,151,68
ship0201606110202404,256,256,ship,3,53,24,68
ship0201606110202405,256,256,ship,164,40,179,56
ship0201606110202405,256,256,ship,140,15,158,31
ship0201606110202502,256,256,ship,74,78,88,104
ship0201606110202502,256,256,ship,37,30,50,37
ship0201606110202502,256,256,ship,45,56,69,64
ship0201606110202502,256,256,ship,44,4,62,10
ship0201606110202502,256,256,ship,32,4,44,12
ship0201606110202706,256,256,ship,167,106,179,140
ship0201606110202706,256,256,ship,211,57,240,84
ship0201606110202707,256,256,ship,163,212,202,256
ship0201606110202707,256,256,ship,138,229,164,255
ship0201606110202707,256,256,ship,127,170,155,193
ship0201606110202707,256,256,ship,122,184,154,208
ship0201606110202707,256,256,ship,82,57,111,88
ship0201606110202707,256,256,ship,38,110,49,140
ship0201606110202708,256,256,ship,34,214,76,255
ship0201606110202708,256,256,ship,5,230,35,256
ship0201606110202807,256,256,ship,163,85,204,130
ship0201606110202807,256,256,ship,134,101,166,130
ship0201606110202807,256,256,ship,122,56,154,79
ship0201606110202807,256,256,ship,126,43,157,64
ship0201606110202808,256,256,ship,35,88,75,131
ship0201606110202808,256,256,ship,5,103,37,130
ship0201606110202907,256,256,ship,215,214,237,256
ship0201606110202908,256,256,ship,121,151,149,210
ship0201606110202908,256,256,ship,89,215,109,256
ship0201606110202908,256,256,ship,163,148,196,170
ship0201606110202909,256,256,ship,1,153,19,211
ship0201606110202909,256,256,ship,11,128,23,153
ship0201606110203013,256,256,ship,214,210,232,233
ship0201606110203013,256,256,ship,192,170,202,193
ship0201606110203014,256,256,ship,144,52,201,67
ship0201606110203014,256,256,ship,88,210,104,233
ship0201606110203014,256,256,ship,66,170,74,193
ship0201606110203017,256,256,ship,158,46,202,61
ship0201606110204013,256,256,ship,215,81,233,105
ship0201606110204013,256,256,ship,193,42,202,64
ship0201606110204014,256,256,ship,66,43,74,64
ship0201606110204014,256,256,ship,86,81,104,105
ship0201606110204017,256,256,ship,139,83,163,108
ship0201606110208012,256,256,ship,212,130,229,157
ship0201606110208012,256,256,ship,210,155,234,194
ship0201606110208013,256,256,ship,84,131,102,154
ship0201606110208013,256,256,ship,81,157,107,193
ship0201606110209012,256,256,ship,207,29,235,67
ship0201606110209012,256,256,ship,211,3,231,29
ship0201606110209013,256,256,ship,81,28,107,65
ship0201606110209013,256,256,ship,83,5,103,26
ship0201607050101037,256,256,ship,113,28,173,66
ship0201607050101038,256,256,ship,1,31,43,64
ship02016070501013025,256,256,ship,115,120,170,199
ship02016070501013026,256,256,ship,1,154,40,195
ship02016070501014025,256,256,ship,116,1,169,68
ship02016070501014026,256,256,ship,1,26,41,67
ship02016070501016013,256,256,ship,157,167,209,241
ship02016070501016014,256,256,ship,28,167,81,241
ship02016070501016023,256,256,ship,129,196,169,256
ship02016070501016024,256,256,ship,1,199,40,256
ship02016070501016027,256,256,ship,158,126,204,190
ship02016070501016028,256,256,ship,29,130,76,188
ship02016070501017013,256,256,ship,157,42,210,114
ship02016070501017014,256,256,ship,29,41,83,114
ship02016070501017023,256,256,ship,129,75,168,131
ship02016070501017024,256,256,ship,2,71,40,130
ship02016070501017027,256,256,ship,157,3,203,60
ship02016070501017028,256,256,ship,30,4,75,60
ship02016070501018031,256,256,ship,108,131,158,202
ship02016070501018032,256,256,ship,1,169,30,202
ship02016070501018034,256,256,ship,191,150,241,188
ship02016070501018035,256,256,ship,63,149,114,190
ship02016070501019031,256,256,ship,109,2,158,74
ship02016070501019032,256,256,ship,1,42,30,74
ship02016070501019034,256,256,ship,190,21,241,61
ship02016070501019035,256,256,ship,63,23,114,61
ship02016070501020027,256,256,ship,140,171,171,210
ship02016070501020028,256,256,ship,12,173,43,210
ship02016070501021015,256,256,ship,177,168,225,219
ship02016070501021016,256,256,ship,49,169,97,219
ship02016070501021019,256,256,ship,232,206,256,233
ship02016070501021020,256,256,ship,103,205,145,241
ship02016070501021024,256,256,ship,129,113,174,149
ship02016070501021025,256,256,ship,1,113,45,149
ship02016070501021027,256,256,ship,139,45,171,83
ship02016070501021028,256,256,ship,10,46,41,83
ship02016070501021031,256,256,ship,205,120,246,146
ship02016070501021032,256,256,ship,77,118,119,147
ship02016070501022015,256,256,ship,176,38,223,91
ship02016070501022016,256,256,ship,49,39,97,93
ship02016070501022020,256,256,ship,104,76,146,114
ship02016070501022024,256,256,ship,135,1,170,20
ship02016070501022025,256,256,ship,8,1,43,20
ship02016070501022031,256,256,ship,206,1,246,17
ship02016070501022032,256,256,ship,78,1,117,18
ship02016070501024054,256,256,ship,159,107,212,143
ship02016070501025014,256,256,ship,132,117,161,160
ship02016070501025015,256,256,ship,5,119,34,160
ship02016070501025021,256,256,ship,159,167,216,213
ship02016070501025022,256,256,ship,30,167,89,212
ship02016070501025051,256,256,ship,171,110,222,151
ship02016070501025052,256,256,ship,43,109,95,152
ship02016070501026014,256,256,ship,134,1,161,32
ship02016070501026015,256,256,ship,6,1,33,32
ship02016070501026021,256,256,ship,159,38,217,86
ship02016070501026022,256,256,ship,32,39,89,83
ship02016070501026051,256,256,ship,186,1,222,22
ship02016070501026052,256,256,ship,58,1,95,24
ship02016070501027017,256,256,ship,109,224,151,252
ship02016070501027018,256,256,ship,1,230,22,250
ship02016070501027050,256,256,ship,139,157,195,227
ship02016070501027051,256,256,ship,11,157,67,226
ship02016070501027053,256,256,ship,179,224,209,240
ship02016070501027054,256,256,ship,51,224,82,241
ship02016070501028017,256,256,ship,110,94,152,124
ship02016070501028018,256,256,ship,1,102,21,123
ship02016070501028047,256,256,ship,202,134,255,173
ship02016070501028048,256,256,ship,73,132,127,174
ship02016070501028050,256,256,ship,139,28,195,98
ship02016070501028051,256,256,ship,11,28,68,97
ship02016070501028053,256,256,ship,179,97,211,113
ship02016070501028054,256,256,ship,51,97,83,113
ship02016070501029012,256,256,ship,159,179,196,217
ship02016070501029013,256,256,ship,30,180,69,218
ship02016070501029021,256,256,ship,137,207,176,241
ship02016070501029022,256,256,ship,9,208,48,240
ship02016070501029047,256,256,ship,203,5,253,43
ship02016070501029048,256,256,ship,74,4,127,45
ship02016070501030010,256,256,ship,1,209,41,252
ship02016070501030012,256,256,ship,159,51,196,89
ship02016070501030013,256,256,ship,30,53,69,89
ship02016070501030021,256,256,ship,137,79,176,111
ship02016070501030022,256,256,ship,9,80,48,112
ship02016070501030045,256,256,ship,106,111,159,146
ship02016070501030046,256,256,ship,1,120,32,145
ship02016070501030047,256,256,ship,166,197,202,232
ship02016070501030048,256,256,ship,38,197,74,234
ship0201607050103009,256,256,ship,126,207,170,253
ship0201607050103043,256,256,ship,211,208,239,239
ship0201607050103044,256,256,ship,83,209,110,240
ship02016070501031010,256,256,ship,1,81,40,125
ship02016070501031045,256,256,ship,122,1,159,19
ship02016070501031046,256,256,ship,1,1,32,18
ship02016070501031047,256,256,ship,166,69,200,106
ship02016070501031048,256,256,ship,37,70,72,106
ship0201607050103109,256,256,ship,126,80,169,126
ship02016070501032013,256,256,ship,119,163,161,196
ship02016070501032014,256,256,ship,1,162,32,197
ship02016070501032043,256,256,ship,206,176,256,218
ship02016070501032044,256,256,ship,77,176,133,216
ship02016070501032049,256,256,ship,121,137,165,168
ship02016070501032050,256,256,ship,1,137,37,167
ship02016070501033013,256,256,ship,119,34,161,69
ship02016070501033014,256,256,ship,1,37,32,68
ship02016070501033043,256,256,ship,207,48,256,88
ship02016070501033044,256,256,ship,78,48,134,88
ship02016070501033049,256,256,ship,120,10,164,40
ship02016070501033050,256,256,ship,1,11,35,39
ship02016070501034017,256,256,ship,165,200,207,237
ship02016070501034018,256,256,ship,36,202,80,236
ship02016070501034038,256,256,ship,130,107,174,145
ship02016070501034039,256,256,ship,3,106,46,146
ship02016070501035017,256,256,ship,163,72,208,108
ship02016070501035018,256,256,ship,35,73,81,108
ship02016070501037015,256,256,ship,172,127,212,164
ship02016070501037016,256,256,ship,44,128,82,162
ship02016070501038012,256,256,ship,136,170,165,197
ship02016070501038013,256,256,ship,8,170,39,196
ship02016070501038015,256,256,ship,173,2,211,34
ship02016070501038016,256,256,ship,45,1,82,33
ship02016070501038018,256,256,ship,228,232,256,252
ship02016070501038019,256,256,ship,100,231,134,252
ship02016070501038040,256,256,ship,111,218,154,245
ship02016070501038041,256,256,ship,1,223,24,244
ship02016070501038043,256,256,ship,167,136,211,168
ship02016070501038044,256,256,ship,39,135,83,168
ship02016070501039012,256,256,ship,137,43,165,67
ship02016070501039013,256,256,ship,9,44,39,67
ship02016070501039018,256,256,ship,228,102,256,125
ship02016070501039019,256,256,ship,101,103,135,123
ship02016070501039036,256,256,ship,170,195,211,225
ship02016070501039037,256,256,ship,42,195,83,226
ship02016070501039040,256,256,ship,111,90,156,118
ship02016070501039041,256,256,ship,1,96,26,116
ship02016070501039043,256,256,ship,167,8,211,39
ship02016070501039044,256,256,ship,39,9,83,40
ship02016070501040036,256,256,ship,171,67,211,97
ship02016070501040037,256,256,ship,41,68,84,96
ship02016070501040044,256,256,ship,206,167,240,199
ship02016070501040045,256,256,ship,77,167,112,199
ship02016070501040047,256,256,ship,214,121,243,160
ship02016070501040048,256,256,ship,86,121,116,162
ship0201607050104043,256,256,ship,210,81,240,113
ship0201607050104044,256,256,ship,83,82,112,112
ship02016070501041044,256,256,ship,206,39,239,70
ship02016070501041045,256,256,ship,76,40,111,73
ship02016070501041047,256,256,ship,215,1,242,32
ship02016070501041048,256,256,ship,87,1,116,32
ship02016070501042036,256,256,ship,227,181,256,194
ship02016070501042037,256,256,ship,98,179,128,194
ship02016070501042040,256,256,ship,167,192,203,212
ship02016070501042041,256,256,ship,39,194,74,211
ship02016070501043032,256,256,ship,227,132,256,158
ship02016070501043033,256,256,ship,100,133,138,161
ship02016070501043036,256,256,ship,227,51,254,66
ship02016070501043037,256,256,ship,98,52,129,66
ship02016070501043040,256,256,ship,167,65,202,83
ship02016070501043041,256,256,ship,40,66,74,82
ship02016070501043042,256,256,ship,148,233,201,256
ship02016070501043043,256,256,ship,23,232,73,256
ship02016070501043046,256,256,ship,170,116,207,141
ship02016070501043047,256,256,ship,42,116,79,140
ship02016070501044032,256,256,ship,229,6,256,29
ship02016070501044033,256,256,ship,99,4,137,32
ship02016070501044042,256,256,ship,149,104,204,137
ship02016070501044043,256,256,ship,22,104,76,138
ship02016070501045034,256,256,ship,214,158,255,183
ship02016070501045035,256,256,ship,87,158,132,183
ship02016070501046032,256,256,ship,151,157,198,190
ship02016070501046033,256,256,ship,24,157,71,190
ship02016070501046034,256,256,ship,215,31,256,56
ship02016070501046035,256,256,ship,87,30,133,55
ship02016070501046037,256,256,ship,149,164,179,209
ship02016070501046038,256,256,ship,21,165,52,208
ship02016070501047032,256,256,ship,151,29,203,61
ship02016070501047033,256,256,ship,24,30,76,61
ship02016070501047033,256,256,ship,181,213,222,239
ship02016070501047034,256,256,ship,53,213,94,239
ship02016070501047037,256,256,ship,150,36,178,79
ship02016070501047038,256,256,ship,21,35,52,79
ship02016070501047042,256,256,ship,183,192,219,211
ship02016070501047043,256,256,ship,55,192,91,212
ship02016070501048033,256,256,ship,181,85,222,111
ship02016070501048034,256,256,ship,54,85,94,113
ship02016070501048042,256,256,ship,183,65,218,83
ship02016070501048043,256,256,ship,55,65,90,83
ship02016070501049021,256,256,ship,194,119,232,156
ship02016070501049022,256,256,ship,65,120,103,157
ship02016070501049022,256,256,ship,202,222,225,232
ship02016070501049023,256,256,ship,75,222,97,233
ship02016070501050021,256,256,ship,194,1,232,28
ship02016070501050022,256,256,ship,67,1,104,27
ship02016070501050022,256,256,ship,202,94,225,104
ship02016070501050023,256,256,ship,75,94,98,104
ship02016070501050038,256,256,ship,145,209,176,226
ship02016070501050039,256,256,ship,18,208,48,226
ship0201607050105041,256,256,ship,143,196,190,238
ship0201607050105042,256,256,ship,16,196,61,239
ship02016070501051038,256,256,ship,147,81,176,98
ship02016070501051039,256,256,ship,18,80,50,98
ship02016070501054014,256,256,ship,181,216,229,248
ship02016070501054015,256,256,ship,53,216,102,250
ship02016070501055010,256,256,ship,172,227,229,245
ship02016070501055011,256,256,ship,44,228,101,243
ship02016070501055014,256,256,ship,180,88,229,120
ship02016070501055015,256,256,ship,52,88,101,121
ship02016070501056010,256,256,ship,172,99,229,117
ship02016070501056011,256,256,ship,45,99,100,115
ship0201607050105606,256,256,ship,183,220,234,234
ship0201607050105607,256,256,ship,55,221,107,234
ship0201607050105701,256,256,ship,189,111,219,154
ship0201607050105702,256,256,ship,61,111,93,155
ship0201607050105702,256,256,ship,205,212,238,247
ship0201607050105703,256,256,ship,145,80,162,102
ship0201607050105703,256,256,ship,77,211,110,249
ship0201607050105705,256,256,ship,176,165,219,183
ship0201607050105706,256,256,ship,183,93,233,105
ship0201607050105706,256,256,ship,51,165,91,183
ship0201607050105707,256,256,ship,55,93,105,105
ship0201607050105801,256,256,ship,189,1,214,25
ship0201607050105802,256,256,ship,61,1,84,26
ship0201607050105802,256,256,ship,204,83,236,120
ship0201607050105802,256,256,ship,127,121,140,150
ship0201607050105802,256,256,ship,178,193,191,215
ship0201607050105803,256,256,ship,76,83,109,121
ship0201607050105803,256,256,ship,51,192,64,216
ship0201607050105803,256,256,ship,1,122,12,150
ship0201607050105805,256,256,ship,179,37,218,55
ship0201607050105806,256,256,ship,47,37,89,56
ship0201607050106041,256,256,ship,144,69,189,110
ship0201607050106042,256,256,ship,16,69,61,111
ship02016070502010013,256,256,ship,107,105,118,128
ship02016070502011019,256,256,ship,137,100,150,144
ship02016070502011019,256,256,ship,132,154,141,191
ship02016070502011020,256,256,ship,11,106,21,143
ship02016070502011020,256,256,ship,2,155,13,188
ship02016070502012019,256,256,ship,131,26,142,62
ship02016070502012019,256,256,ship,125,230,143,248
